Medium ,Series ,Title,Tier,Rating ,Genre ,Sub-Genre,Qualifier,Tags
television,Star Wars,Andor,S,99,sci-fi,political-thriller,"second-to-none, the essence of star wars","conspiracy, facism, hope"
television,Star Wars,The Mandalorian - Season 1,A,88,sci-fi,western,,
